 Lista de Imóveis da Caixa;;Data de geração:;08/05/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
8,7877E+12;RJ ;NOVA IGUACU ;VILA CATIA ;RUA TENORIO CAVALCANTI, N. 180, Apto 404, BL 6B LT 01-A ;121.156,30;200.452,67;39.56;Não;Apartamento, 45.78 de área total, 45.78 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700745088
8,7877E+12;RJ ;NOVA IGUACU ;PRATA ;RUA TENORIO CAVALCANTI, N. 180, Apto 502, BL 8A ;125.113,59;207.000,00;39.56;Não;Apartamento, 0.00 de área total, 45.49 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702016741
8,44441E+12;RJ ;NOVA IGUACU ;JARDIM NOVA ERA ;RUA SHEILA BIONDINO, N. 259, CS 02 ;131.809,29;218.078,01;39.56;Não;Casa, 47.83 de área total, 47.83 de área privativa, 50.26 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414209061
8,78771E+12;RJ ;NOVA IGUACU ;JARDIM NOVA ERA ;AVENIDA ABILIO AUGUSTO TAVORA, N. SN, Apto 301, BL 02 ;117.860,63;195.000,00;39.56;Não;Apartamento, 40.83 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712359072
8,7877E+12;RJ ;NOVA IGUACU ;CERAMICA ;RUA OLIVEIROS RODRIGUES ALVES, N. 1476, Apto 501, BL 27 ;132.083,32;218.531,39;39.56;Sim;Apartamento, 55.00 de área total, 43.08 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703935775
8,78771E+12;RJ ;NOVA IGUACU ;CERAMICA ;RUA B, N. 200, Apto 501, BL 09 ;137.685,40;227.800,00;39.56;Sim;Apartamento, 40.54 de área total, 40.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707128912
8,78771E+12;RJ ;NOVA IGUACU ;CERAMICA ;RUA B, N. 200, Apto 202, BL15 ;120.278,29;199.000,00;39.56;Não;Apartamento, 80.40 de área total, 40.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708451156
8,44443E+12;RJ ;NOVA IGUACU ;CABUCU ;RUA GUARANHUNS, N. 522, CS 03 ;133.212,74;220.400,00;39.56;Sim;Sobrado, 71.90 de área total, 71.90 de área privativa, 90.49 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428424660
8,78772E+12;RJ ;NOVA IGUACU ;CABUCU ;AVENIDA ABILIO AUGUSTO TAVORA, N. 6045, Apto 401, LT 01 ;114.838,57;190.000,00;39.56;Não;Apartamento, 100.91 de área total, 40.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715459434
8,55554E+12;RJ ;NOVA IGUACU ;CAMPO ALEGRE ;RUA DOUTOR ALBERT SABIN, N. SN, CS 119 TIPO C ;113.531,22;187.837,00;39.56;Não;Casa, 70.46 de área total, 58.29 de área privativa, 58.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536612237
